ID,Layer,Mean WFA intensity,Net volume (µm3),Integrated WFA intensity,Intensity SD,Intensity CV,Net sphericity,Distance from pia (µm),PV?,
net1,L2_3,183,3442,629886,41.2,0.225,0.235,303.58,yes,
net2,L2_3,122,1332,162504,20.5,0.168,0.232,403.059,yes,
net3,L2_3,179,2759,493861,41.9,0.234,0.25,425.356,yes,
net4,L2_3,209,3030,633270,35.5,0.170,0.218,543.701,yes,
net5.1,L2_3,168,154,25872,27.7,0.165,0.233,576.288,no,
net5.2,L2_3,180,1951,351180,35.7,0.198,0.222,564.282,yes,
net5.3,L2_3,187,1866,348942,38.5,0.206,0.275,569.428,yes,
net7,L2_3,141,514,72474,19.1,0.135,0.223,394.483,yes,
net9.1,L2_3,146,250,36500,23.3,0.160,0.205,361.895,yes,
net9.2,L2_3,148,1004,148592,23.2,0.157,0.178,308.726,yes,
net10,L2_3,222,3746,831612,31.3,0.141,0.27,260.702,yes,
net11,L2_3,159,382,60738,20.8,0.131,0.177,188.666,yes,
net15,L2_3,168,3322,558096,44.7,0.266,0.272,445.937,yes,
net16.1,L4,109,405,44145,24.1,0.221,0.207,575.907,no, 
net16.2,L4,165,730,120450,22.7,0.138,0.23,639.749,yes,
net16.3,L4,178,848,150944,33.6,0.189,0.248,612.306,yes,
net19,L4,210,3318,696780,37.8,0.180,0.242,670.621,yes,
net21,L2_3,128,226,28928,13.9,0.109,0.197,550.561,yes,
net22.1,L4,184,1721,316664,38.6,0.210,0.25,679.197,yes,
net22.2,L4,173,1390,240470,32.5,0.188,0.213,684.342,yes,
net25.1,L4,165,1034,170610,26.9,0.163,0.207,727.221,yes,
net25.2,L4,183,2784,509472,38.9,0.213,0.249,764.954,yes,
net27,L4,160,2440,390400,38,0.238,0.211,701.494,yes,
net29,L4,108,605,65340,16,0.148,0.203,819.839,yes,
net31,L4,102,1145,116790,12.9,0.126,0.135,938.183,no,
net33,L4,131,925,121175,24.9,0.190,0.216,910.741,yes,
net34,L4,165,1213,200145,36.1,0.219,0.242,871.293,yes,
net35,L4,104,268,27872,12.1,0.116,0.178,936.468,yes,
net36,L4,197,5215,1027355,44.2,0.224,0.261,842.135,no,
net37,L4,106,1419,150414,15.4,0.145,0.132,802.687,no,
net38.1,L4,140,1136,159040,30.1,0.215,0.231,943.329,yes,
net38.2,L4,151,1634,246734,39.2,0.260,0.263,977.632,no,
net39,L4,109,834,90906,18.5,0.170,0.167,1011.935,yes,
net41.1,L4,101,865,87365,20.2,0.200,0.224,991.353,yes,
net41.2,L4,95.3,213,20298.9,14.4,0.151,0.216,998.214,yes,
net42.1,L4,168,2674,449232,39.2,0.233,0.202,1051.383,yes,
net42.2,L4,153,760,116280,27.4,0.179,0.203,1063.389,yes,
net43,L4,125,1059,132375,24.5,0.196,0.229,1125.134,yes,
net44,L5_6,89.9,452,40634.8,17.9,0.199,0.224,1149.146,no,
net46,L4,182,2991,544362,39.4,0.216,0.242,1085.686,yes,
net47,L4,151,1192,179992,29.7,0.197,0.217,1145.716,yes,
net49.1,L5_6,107,319,34133,15.7,0.147,0.231,1200.6,yes,
net49.2,L5_6,112,520,58240,19.9,0.178,0.221,1221.182,yes,
net50,L5_6,102,329,33558,15.7,0.154,0.202,1092.546,yes,
net51.1,L5_6,96.7,1736,167871.2,22.2,0.230,0.195,1080.54,yes,
net51.2,L5_6,102,3055,311610,29.5,0.289,0.196,1157.722,yes,
net52,L5_6,78.8,95.5,7525.4,9.7,0.123,0.233,1209.176,yes,
net54.1,L5_6,137,2719,372503,34.4,0.251,0.212,1269.206,yes,
net54.2,L5_6,114,145,16530,12.8,0.112,0.216,1305.224,yes,
net55,L5_6,129,367,47343,17.1,0.133,0.191,1325.806,yes,
net56,L5_6,73.6,520,38272,12.3,0.167,0.19,1344.673,yes,
net57.1,L5_6,95.1,1544,146834.4,20.6,0.217,0.202,1401.272,yes,
net57.2,L5_6,90.7,936,84895.2,16.2,0.179,0.211,1303.509,yes,
net58.1,L5_6,84.4,1368,115459.2,15.8,0.187,0.179,1435.575,yes,
net58.2,L5_6,79.7,241,19207.7,12.6,0.158,0.196,1449.296,yes,
net59,L5_6,93.8,675,63315,20.5,0.219,0.197,1439.005,yes,
net60,L5_6,68.1,767,52232.7,9.36,0.137,0.154,1502.466,no,
net61,L5_6,83.2,403,33529.6,11.6,0.139,0.195,1497.32,yes,
net62.1,L5_6,64.9,1260,81774,12.2,0.188,0.2,1456.157,no,
net62.2,L5_6,61,675,41175,8.13,0.133,0.179,1543.629,yes,
net66.1,L5_6,61.6,831,51189.6,10.6,0.172,0.169,1581.362,yes,
net66.2,L5_6,59.3,224,13283.2,8.56,0.144,0.2,1620.811,yes,
net68,L5_6,53,214,11342,7.65,0.144,0.199,1730.58,no,
net69,L5_6,35,498,17430,4.81,0.137,0.175,1739.155,yes,
net70,L5_6,39,359,14001,7.28,0.187,0.174,1665.404,no,
net72,L5_6,72.3,1280,92544,15.5,0.214,0.205,1888.373,yes,
net73,L5_6,89,6458,574762,29,0.326,0.21,1807.761,yes,
net74,L5_6,43,1123,48289,7.55,0.176,0.163,2046.166,yes,
net75,L5_6,38.1,442,16840.2,5.88,0.154,0.152,2111.342,yes,
net76,L5_6,31.9,874,27880.6,5.87,0.184,0.15,2195.384,no,
