ID,Layer,Mean WFA intensity,Net volume (µm3),Integrated WFA intensity,Intensity SD,Intensity CV,Net sphericity,Distance from pia (µm),PV?
net1,L2_3,71.2,716,50979.2,11.3,0.159,0.209,340.64,yes
net2,L2_3,88.7,346,30690.2,12.5,0.141,0.195,376.921,yes
net3,L2_3,86,424,36464,8.8,0.102,0.168,344.671,no
net4,L2_3,73.2,462,33818.4,8.09,0.111,0.203,399.093,no
net6,L2_3,94.5,759,71725.5,11.5,0.122,0.168,459.561,yes
net7,L2_3,70.4,228,16051.2,7.72,0.110,0.21,391.03,no
net8,L2_3,101,226,22826,17.1,0.169,0.193,479.717,no
net9,L2_3,190,473,89870,30.2,0.159,0.218,532.124,yes
net10,L2_3,126,990,124740,16,0.127,0.15,564.373,yes
net11,L2_3,125,397,49625,21.5,0.172,0.239,584.53,yes
net12,L2_3,147,913,134211,29.8,0.203,0.184,558.327,yes
net13,L2_3,94.4,755,71272,13.7,0.145,0.187,530.108,yes
net14.1,L2_3,122,396,48312,22.1,0.181,0.209,542.202,yes
net14.2,L2_3,124,577,71548,25.2,0.203,0.201,495.842,yes
net15,L2_3,109,334,36406,13.1,0.120,0.173,477.702,yes
net16,L2_3,107,329,35203,14.2,0.133,0.215,558.327,no
net17,L2_3,175,1479,258825,40,0.229,0.248,638.951,yes
net18.1,L2_3,167,1613,269371,36.9,0.221,0.233,667.17,yes
net18.2,L2_3,153,394,60282,24.6,0.161,0.23,733.685,yes
net19,L2_3,166,1053,174798,44.1,0.266,0.283,685.311,yes
net20,L2_3,107,1745,186715,23.8,0.222,0.22,735.701,yes
net21,L2_3,94.4,412,38892.8,16.6,0.176,0.247,731.67,no
net22,L2_3,80.4,547,43978.8,12,0.149,0.206,794.154,yes
net23,L2_3,121,772,93412,22.7,0.188,0.218,824.388,no
net25,L2_3,96.9,548,53101.2,13.4,0.138,0.203,872.763,yes
net26,L4,146,4657,679922,44.3,0.303,0.251,963.466,yes
net27,L4,156,1676,261456,37.4,0.240,0.227,911.06,yes
net29,L2_3,163,1891,308233,50.6,0.310,0.362,822.373,yes
net31,L2_3,113,340,38420,18.6,0.165,0.228,854.623,no
net32,L2_3,188,3792,712896,42.8,0.228,0.25,707.482,yes
net33,L2_3,119,293,34867,20.6,0.173,0.221,661.123,yes
net34,L2_3,131,1210,158510,32.5,0.248,0.216,634.92,no
net35,L2_3,134,730,97820,28.7,0.214,0.231,661.123,yes
net36,L2_3,95.1,208,19780.8,11.1,0.117,0.177,540.186,yes
net37,L4,88.9,264,23469.6,12.1,0.136,0.212,965.482,yes
net38,L4,118,800,94400,24,0.203,0.245,939.279,yes
net39,L4,171,4806,821826,47.7,0.279,0.222,985.638,yes
net40,L4,127,603,76581,21.2,0.167,0.199,957.419,yes
net41,L4,172,3284,564848,44.7,0.260,0.253,935.247,yes
net42,L4,207,1123,232461,33.1,0.160,0.235,941.294,yes
net43,L4,197,2914,574058,44.3,0.225,0.267,902.998,yes
net44,L4,188,2957,555916,43.2,0.230,0.259,927.185,yes
net45,L4,123,1054,129642,26.6,0.216,0.21,969.513,yes
net47,L2_3,105,477,50085,18.9,0.180,0.199,429.327,yes
net49,L4,173,886,153278,34.9,0.202,0.254,1074.325,yes
net50,L4,120,513,61560,23.9,0.199,0.245,1144.872,yes
net51,L4,107,496,53072,15.1,0.141,0.163,1144.872,no
net52,L4,169,946,159874,37.3,0.221,0.283,1193.247,yes
net54,L4,130,1219,158470,31.2,0.240,0.22,1207.356,yes
net55,L4,157,1071,168147,37.9,0.241,0.244,1243.637,yes
net56,L4,108,449,48492,22.1,0.205,0.216,1259.762,yes
net57,L4,164,715,117260,36.7,0.224,0.237,1259.762,yes
net58,L4,173,1204,208292,38.9,0.225,0.269,1300.075,yes
net59,L4,144,1279,184176,34.5,0.240,0.235,1324.262,yes
net61,L4,141,1088,153408,37.5,0.266,0.312,1340.387,yes
net62,L4,120,296,35520,20.3,0.169,0.237,1289.996,yes
net63,L4,144,101,14544,21.4,0.149,0.259,1243.637,yes
net64,L4,227,14900,3382300,33.1,0.146,0.239,1233.559,yes
net65,L4,163,3073,500899,42.7,0.262,0.299,1241.622,yes
net66,L4,101,145,14645,25,0.248,0.228,1169.059,no
net67,L4,196,2053,402388,40,0.204,0.265,1163.012,yes
net68,L4,218,4370,952660,37.5,0.172,0.273,1050.138,yes
net69.1,L4,99,303,29997,14.1,0.142,0.194,1056.185,no
net69.2,L4,98,458,44884,13.4,0.137,0.151,1062.231,no
net70.1,L4,139,386,53654,27,0.194,0.255,1221.465,yes
net70.2,L4,136,305,41480,25.3,0.186,0.22,1394.809,yes
net71,L4,153,3695,565335,46.8,0.306,0.247,1388.762,yes
net72.1,L5_6,143,1617,231231,41.5,0.290,0.259,1459.308,yes
net72.2,L5_6,120,519,62280,20.5,0.171,0.196,1531.871,no
net73,L5_6,172,1154,198488,35.5,0.206,0.243,1556.058,yes
net74,L5_6,127,928,117856,25.5,0.201,0.245,1606.449,yes
net75,L5_6,94.5,234,22113,11.8,0.125,0.193,1590.324,yes
net76,L5_6,109,233,25397,14.4,0.132,0.213,1529.855,yes
net77,L5_6,162,1353,219186,40.4,0.249,0.258,1489.543,yes
net78,L5_6,158,1524,240792,34.4,0.218,0.246,1433.105,yes
net80,L5_6,177,406,71862,26.6,0.150,0.201,1453.262,yes
net81,L5_6,124,290,35960,19.8,0.160,0.218,1441.168,yes
net82.1,L4,125,1149,143625,28.4,0.227,0.218,1402.871,yes
net82.2,L4,111,228,25308,15.8,0.142,0.198,1485.512,yes
net82.3,L5_6,121,1361,164681,28.1,0.232,0.184,1527.839,no
net83,L5_6,126,1024,129024,24.7,0.196,0.203,1574.199,yes
net84,L5_6,120,1566,187920,24.7,0.206,0.23,1574.199,yes
net85,L5_6,112,662,74144,16.9,0.151,0.184,1612.496,yes
net86.1,L5_6,124,686,85064,26.6,0.215,0.274,1642.73,yes
net86.2,L5_6,113,298,33674,16.9,0.150,0.239,1664.902,yes
net87,L5_6,98.1,498,48853.8,11.7,0.119,0.171,1759.636,yes
net88,L5_6,149,2445,364305,38.1,0.256,0.236,1761.651,no
net89,L5_6,137,976,133712,24.6,0.180,0.199,1771.729,yes
net90,L5_6,105,1540,161700,19.5,0.186,0.194,1878.557,yes
net91,L5_6,127,1672,212344,24.9,0.196,0.175,1904.76,yes
net93,L5_6,177,3615,639855,42.9,0.242,0.214,1975.307,yes
net94,L5_6,87.6,336,29433.6,10.4,0.119,0.192,1904.76,yes
net95,L5_6,91.4,1584,144777.6,17.7,0.194,0.194,1951.12,yes
net96,L5_6,97.4,2033,198014.2,26.2,0.269,0.218,1943.057,no
net97,L5_6,104,162,16848,20.2,0.194,0.21,2051.901,yes
net98,L5_6,93.9,732,68734.8,16.7,0.178,0.209,2011.588,no
net99,L5_6,179,713,127627,30.5,0.170,0.185,1908.792,no
net101,L5_6,94.6,721,68206.6,16.6,0.175,0.23,2257.494,yes
net102,L5_6,177,2863,506751,43.9,0.248,0.264,2317.962,yes
net103,L5_6,120,1746,209520,26.3,0.219,0.232,2239.353,yes
net104,L5_6,124,1508,186992,26.6,0.215,0.197,2170.822,yes
net107,L5_6,110,2339,257290,29.4,0.267,0.217,2057.947,yes
net108,L5_6,59.1,373,22044.3,7.65,0.129,0.159,2479.212,no
net109,L5_6,72,173,12456,13.1,0.182,0.207,2434.868,no
