ID,Layer,Mean WFA intensity,Net volume (µm3),Integrated WFA intensity,Intensity SD,Intensity CV,Net sphericity,Distance from pia (µm),PV?
net1,L2_3,104,4356,453024,31.4,0.302,0.17,401.694,yes
net2,L2_3,82.4,387,31888.8,12.6,0.153,0.132,425.314,no
net3,L2_3,123,2037,250551,26.7,0.217,0.145,500.898,yes
net4,L2_3,86.4,635,54864,12.9,0.149,0.137,425.314,no
net5,L2_3,117,748,87516,20,0.171,0.16,578.844,no
net8,L2_3,150,1703,255450,41.1,0.274,0.23,661.514,yes
net9,L2_3,144,1134,163296,29.4,0.204,0.176,739.46,yes
net11,L2_3,176,1623,285648,42.1,0.239,0.224,720.564,yes
net13,L2_3,124,2375,294500,37.5,0.302,0.184,859.922,yes
net14,L2_3,110,394,43340,22.7,0.206,0.208,864.646,no
net15,L2_3,157,1346,211322,31.3,0.199,0.18,961.488,yes
net16,L2_3,175,3007,526225,35.4,0.202,0.158,914.248,yes
net17,L2_3,158,2978,470524,32.9,0.208,0.155,918.972,yes
net18,L2_3,113,704,79552,18.4,0.163,0.135,911.886,yes
net19,L2_3,100,734,73400,17.6,0.176,0.155,789.062,yes
net20,L2_3,88,854,75152,20.8,0.236,0.165,819.768,no
net21,L2_3,99.9,649,64835.1,18,0.18,0.13,1027.624,yes
net22,L2_3,123,1297,159531,30,0.244,0.175,1048.882,no
net23,L2_3,160,11200,1792000,48.9,0.306,0.168,1124.466,yes
net24,L2_3,155,1224,189720,38.6,0.249,0.229,1032.348,no
net25,L2_3,146,772,112712,29.8,0.204,0.175,1008.728,yes
net27,L2_3,124,2902,359848,27.1,0.219,0.151,1195.326,yes
net28,L2_3,143,2412,344916,37.4,0.262,0.184,1098.484,yes
net30,L2_3,195,3023,589485,26.9,0.138,0.132,1188.24,yes
net31,L4,151,2399,362249,38.6,0.256,0.197,1263.824,yes
net32,L4,177,4779,845883,38.6,0.218,0.156,1266.186,yes
net33,L4,144,2201,316944,33.7,0.234,0.155,1318.151,yes
net34,L4,175,3114,544950,41.3,0.236,0.223,1346.495,yes
net35,L4,200,716,143200,35.2,0.176,0.212,1457.509,yes
net36,L4,178,2230,396940,33.5,0.188,0.156,1414.993,no
net38,L4,115,855,98325,18.3,0.159,0.2,1561.437,yes
net39,L4,146,2667,389382,34.5,0.236,0.167,1606.315,yes
net40,L4,149,2112,314688,34.9,0.234,0.18,1577.971,no
net41,L4,190,4898,930620,40.8,0.215,0.198,1615.763,yes
net42,L4,158,1947,307626,31.5,0.199,0.18,1547.265,yes
net44,L4,177,3898,689946,42.6,0.241,0.171,1483.491,yes
net45,L4,145,347,50315,25.6,0.177,0.192,1469.319,yes
net47,L4,127,572,72644,37.3,0.294,0.198,1599.229,no
net48,L2_3,104,329,34216,19.4,0.187,0.172,1006.366,no
net49,L5_6,89.5,179,16020.5,11.6,0.13,0.135,1670.089,no
net51,L5_6,161,1865,300265,31.8,0.198,0.149,1797.637,yes
net52,L5_6,138,1443,199134,26,0.188,0.131,1776.379,no
net55,L5_6,109,233,25397,23.5,0.216,0.153,1837.791,no
net56,L5_6,144,938,135072,25.6,0.178,0.151,1774.017,yes
net58,L5_6,135,1520,205200,25.4,0.188,0.168,1799.999,yes
net59,L5_6,196,8227,1612492,42.4,0.216,0.184,1856.687,yes
net61,L5_6,107,651,69657,19,0.178,0.169,1920.461,yes
net64,L5_6,112,710,79520,17.1,0.153,0.135,2073.991,yes
net67,L5_6,119,940,111860,18.9,0.159,0.131,2121.231,yes
net69,L5_6,113,2553,288489,22.5,0.199,0.11,2199.177,no
net70,L5_6,109,4561,497149,25.7,0.236,0.186,2333.811,no
net71,L5_6,129,2609,336561,27.4,0.212,0.142,2381.051,yes
net72,L5_6,77.4,287,22213.8,13.6,0.176,0.149,2657.405,yes
net73,L5_6,88.6,206,18251.6,16.3,0.184,0.135,2574.735,yes
net75,L5_6,84.5,368,31096,15.6,0.185,0.136,2551.115,yes
